@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
176,11,2,27,174,0.134328,0.846154,0.289474,0.846154,0.710526,0.431373,0.17757,4.765182,0.001285
177,11,2,26,175,0.129353,0.846154,0.297297,0.846154,0.702703,0.44,0.172897,4.893971,0.001496
178,10,3,26,175,0.129353,0.769231,0.277778,0.769231,0.722222,0.408163,0.168224,4.57265,0.00168
179,10,3,25,176,0.124378,0.769231,0.285714,0.769231,0.714286,0.416667,0.163551,4.703297,0.001878
180,10,3,24,177,0.119403,0.769231,0.294118,0.769231,0.705882,0.425532,0.158879,4.841629,0.002411
181,10,3,23,178,0.114428,0.769231,0.30303,0.769231,0.69697,0.434783,0.154206,4.988345,0.00329
182,10,3,22,179,0.109453,0.769231,0.3125,0.769231,0.6875,0.444444,0.149533,5.144231,0.004145
183,10,3,21,180,0.104478,0.769231,0.322581,0.769231,0.677419,0.454545,0.14486,5.310174,0.004319
184,9,4,21,180,0.104478,0.692308,0.3,0.692308,0.7,0.418605,0.140187,4.938462,0.006803
185,9,4,20,181,0.099502,0.692308,0.310345,0.692308,0.689655,0.428571,0.135514,5.108753,0.007763
186,8,5,20,181,0.099502,0.615385,0.285714,0.615385,0.714286,0.390244,0.130841,4.703297,0.00876
187,8,5,19,182,0.094527,0.615385,0.296296,0.615385,0.703704,0.4,0.126168,4.877493,0.008932
188,8,5,18,183,0.089552,0.615385,0.307692,0.615385,0.692308,0.410256,0.121495,5.065089,0.009569
189,8,5,17,184,0.084577,0.615385,0.32,0.615385,0.68,0.421053,0.116822,5.267692,0.010362
190,8,5,16,185,0.079602,0.615385,0.333333,0.615385,0.666667,0.432432,0.11215,5.487179,0.014383
191,7,6,16,185,0.079602,0.538462,0.304348,0.538462,0.695652,0.388889,0.107477,5.010033,0.01469
192,7,6,15,186,0.074627,0.538462,0.318182,0.538462,0.681818,0.4,0.102804,5.237762,0.022161
193,7,6,14,187,0.069652,0.538462,0.333333,0.538462,0.666667,0.411765,0.098131,5.487179,0.030259
194,7,6,13,188,0.064677,0.538462,0.35,0.538462,0.65,0.424242,0.093458,5.761538,0.040285
195,7,6,12,189,0.059701,0.538462,0.368421,0.538462,0.631579,0.4375,0.088785,6.064777,0.070788
196,7,6,11,190,0.054726,0.538462,0.388889,0.538462,0.611111,0.451613,0.084112,6.401709,0.077668
197,7,6,10,191,0.049751,0.538462,0.411765,0.538462,0.588235,0.466667,0.079439,6.778281,0.11698
198,6,7,10,191,0.049751,0.461538,0.375,0.461538,0.625,0.413793,0.074766,?,0.177201
199,5,8,10,191,0.049751,0.384615,0.333333,0.384615,0.666667,0.357143,0.070093,?,0.230179
200,4,9,10,191,0.049751,0.307692,0.285714,0.307692,0.714286,0.296296,0.065421,?,0.275639
201,4,9,9,192,0.044776,0.307692,0.307692,0.307692,0.692308,0.307692,0.060748,?,0.409037
202,4,9,8,193,0.039801,0.307692,0.333333,0.307692,0.666667,0.32,0.056075,?,0.588528
203,3,10,8,193,0.039801,0.230769,0.272727,0.230769,0.727273,0.25,0.051402,?,0.665132
204,2,11,8,193,0.039801,0.153846,0.2,0.153846,0.8,0.173913,0.046729,?,0.688821
205,2,11,7,194,0.034826,0.153846,0.222222,0.153846,0.777778,0.181818,0.042056,?,0.730892
206,2,11,6,195,0.029851,0.153846,0.25,0.153846,0.75,0.190476,0.037383,?,0.77124
207,2,11,5,196,0.024876,0.153846,0.285714,0.153846,0.714286,0.2,0.03271,?,0.998617
208,2,11,4,197,0.0199,0.153846,0.333333,0.153846,0.666667,0.210526,0.028037,?,0.999642
209,2,11,3,198,0.014925,0.153846,0.4,0.153846,0.6,0.222222,0.023364,?,0.999887
210,2,11,2,199,0.00995,0.153846,0.5,0.153846,0.5,0.235294,0.018692,?,1
211,2,11,1,200,0.004975,0.153846,0.666667,0.153846,0.333333,0.25,0.014019,?,1
